Date,First_day,First_year,Last_day,Last_year
1908-1909,-,-,,
1909-1910,-,-,,
1910-1911,-,-,,
1911-1912,-,-,,
1912-1913,-,-,,
1913-1914,-,-,,
1914-1915,-,-,,
1915-1916,-,-,,
1916-1917,-,-,,
1917-1918,-,-,,
1918-1919,-,-,,
1919-1920,-,-,,
1920-1921,-,-,,
1921-1922,-,-,,
1922-1923,-,-,,
1923-1924,-,-,,
1924-1925,-,-,,
1925-1926,-,-,,
1926-1927,-,-,,
1927-1928,-,-,,
1928-1929,-,-,,
1929-1930,-,-,,
1930-1931,-,-,,
1931-1932,-,-,,
1932-1933,-,-,,
1933-1934,Oct-28,(1933),Mar-30,(1934)
1934-1935,Nov-22,(1934),Apr-01,(1935)
1935-1936,Nov-05,(1935),Apr-04,(1936)
1936-1937,Nov-07,(1936),Apr-04,(1937)
1937-1938,Oct-16,(1937),Apr-06,(1938)
1938-1939,Oct-24,(1938),Apr-18,(1939)
1939-1940,Dec-19,(1939),Mar-27,(1940)
1940-1941,Nov-11,(1940),Mar-16,(1941)
1941-1942,Dec-11,(1941),Mar-29,(1942)
1942-1943,Sep-26,(1942),Mar-19,(1943)
1943-1944,Nov-06,(1943),May-05,(1944)
1944-1945,Nov-25,(1944),Apr-04,(1945)
1945-1946,Nov-26,(1945),Mar-08,(1946)
1946-1947,Nov-09,(1946),Apr-15,(1947)
1947-1948,Nov-14,(1947),Mar-06,(1948)
1948-1949,Nov-12,(1948),Apr-15,(1949)
1949-1950,Nov-16,(1949),Apr-26,(1950)
1950-1951,Nov-22,(1950),Apr-07,(1951)
1951-1952,Nov-03,(1951),Apr-13,(1952)
1952-1953,Oct-16,(1952),Apr-19,(1953)
1953-1954,Nov-22,(1953),May-02,(1954)
1954-1955,Oct-29,(1954),Mar-23,(1955)
1955-1956,Oct-29,(1955),Apr-29,(1956)
1956-1957,Nov-15,(1956),Apr-05,(1957)
1957-1958,Nov-08,(1957),Mar-16,(1958)
1958-1959,Nov-23,(1958),Mar-26,(1959)
1959-1960,Oct-26,(1959),Apr-08,(1960)
1960-1961,Nov-29,(1960),Apr-17,(1961)
1961-1962,Sep-30,(1961),Apr-16,(1962)
1962-1963,Oct-24,(1962),Apr-23,(1963)
1963-1964,Nov-29,(1963),Apr-07,(1964)
1964-1965,Nov-19,(1964),Apr-25,(1965)
1965-1966,Nov-18,(1965),May-11,(1966)
1966-1967,Oct-15,(1966),May-01,(1967)
1967-1968,Nov-22,(1967),Apr-23,(1968)
1968-1969,Oct-27,(1968),Apr-28,(1969)
1969-1970,Oct-15,(1969),Apr-20,(1970)
1970-1971,Oct-31,(1970),Apr-02,(1971)
1971-1972,Nov-19,(1971),Apr-22,(1972)
1972-1973,Oct-22,(1972),May-02,(1973)
1973-1974,Nov-15,(1973),Apr-04,(1974)
1974-1975,Nov-13,(1974),Apr-10,(1975)
1975-1976,Nov-10,(1975),May-02,(1976)
1976-1977,Oct-18,(1976),Apr-04,(1977)
1977-1978,Nov-09,(1977),Apr-20,(1978)
1978-1979,Nov-12,(1978),Apr-05,(1979)
1979-1980,Oct-22,(1979),Apr-09,(1980)
1980-1981,Nov-14,(1980),Apr-04,(1981)
1981-1982,Oct-22,(1981),Apr-20,(1982)
1982-1983,Oct-20,(1982),Apr-16,(1983)
1983-1984,Nov-09,(1983),Apr-30,(1984)
1984-1985,Nov-10,(1984),Apr-08,(1985)
1985-1986,Nov-08,(1985),Apr-15,(1986)
1986-1987,Nov-10,(1986),Mar-29,(1987)
1987-1988,Oct-20,(1987),Apr-27,(1988)
1988-1989,Nov-05,(1988),May-06,(1989)
1989-1990,Oct-30,(1989),Apr-05,(1990)
1990-1991,Oct-17,(1990),Apr-23,(1991)
1991-1992,Oct-05,(1991),Mar-29,(1992)
1992-1993,Oct-19,(1992),Apr-19,(1993)
1993-1994,Nov-05,(1993),Apr-28,(1994)
1994-1995,Nov-27,(1994),Apr-21,(1995)
1995-1996,Oct-30,(1995),Apr-15,(1996)
1996-1997,Nov-01,(1996),May-15,(1997)
1997-1998,Nov-02,(1997),Mar-18,(1998)
1998-1999,Nov-07,(1998),Mar-09,(1999)
1999-2000,Oct-01,(1999),Apr-11,(2000)
2000-2001,Nov-13,(2000),Mar-31,(2001)
2001-2002,Nov-30,(2001),Apr-27,(2002)
2002-2003,Oct-24,(2002),Apr-07,(2003)
2003-2004,Nov-03,(2003),Mar-16,(2004)
2004-2005,Nov-27,(2004),Apr-01,(2005)
2005-2006,Nov-15,(2005),Mar-27,(2006)
2006-2007,Oct-12,(2006),Apr-11,(2007)
2007-2008,Nov-17,(2007),Apr-12,(2008)
2008-2009,Oct-26,(2008),Apr-05,(2009)
2009-2010,Oct-11,(2009),Feb-23,(2010)
2010-2011,Nov-12,(2010),Apr-20,(2011)
2011-2012,Nov-19,(2011),Feb-29,(2012)
2012-2013,Nov-12,(2012),May-03,(2013)
2013-2014,Nov-11,(2013),Apr-30,(2014)
2014-2015,Nov-10,(2014),Apr-09,(2015)
2015-2016,Oct-28,(2015),Apr-08,(2016)
2016-2017,Nov-23,(2016),Mar-13,(2017)
2017-2018,Oct-27,(2017),Apr-18,(2018)
2018-2019,Oct-14,(2018),Apr-27,(2019)
