Date,First_day,First_year,Last_day,Last_year
1899-1900,Oct-15,(1899),Apr-30,(1900)
1900-1901,Oct-30,(1900),Apr-16,(1901)
1901-1902,Oct-12,(1901),Apr-22,(1902)
1902-1903,Nov-15,(1902),May-02,(1903)
1903-1904,Oct-15,(1903),Apr-24,(1904)
1904-1905,Oct-18,(1904),May-05,(1905)
1905-1906,Oct-14,(1905),Apr-27,(1906)
1906-1907,Oct-20,(1906),May-13,(1907)
1907-1908,Sep-30,(1907),May-05,(1908)
1908-1909,Sep-26,(1908),Apr-22,(1909)
1909-1910,Nov-12,(1909),May-21,(1910)
1910-1911,Oct-27,(1910),Apr-30,(1911)
1911-1912,-,-,,
1912-1913,-,-,,
1913-1914,-,-,,
1914-1915,-,-,,
1915-1916,-,-,,
1916-1917,-,-,,
1917-1918,-,-,,
1918-1919,-,-,,
1919-1920,-,-,,
1920-1921,-,-,Apr-25,(1921)
1921-1922,Oct-07,(1921),Apr-17,(1922)
1922-1923,Oct-17,(1922),Apr-23,(1923)
1923-1924,Oct-12,(1923),May-09,(1924)
1924-1925,Nov-06,(1924),Mar-18,(1925)
1925-1926,Oct-17,(1925),Apr-09,(1926)
1926-1927,Oct-23,(1926),Apr-24,(1927)
1927-1928,Sep-26,(1927),Apr-26,(1928)
1928-1929,Oct-16,(1928),May-01,(1929)
1929-1930,Oct-28,(1929),May-18,(1930)
1930-1931,Oct-16,(1930),May-21,(1931)
1931-1932,Nov-19,(1931),Apr-28,(1932)
1932-1933,Oct-18,(1932),May-11,(1933)
1933-1934,Nov-04,(1933),May-13,(1934)
1934-1935,Nov-21,(1934),May-04,(1935)
1935-1936,Sep-27,(1935),Apr-05,(1936)
1936-1937,Sep-26,(1936),Apr-23,(1937)
1937-1938,Oct-18,(1937),May-07,(1938)
1938-1939,Oct-19,(1938),Apr-16,(1939)
1939-1940,-,-,Apr-12,(1940)
1940-1941,Nov-10,(1940),Apr-19,(1941)
1941-1942,Oct-30,(1941),Apr-24,(1942)
1942-1943,Sep-26,(1942),May-09,(1943)
