Date,First_day,First_year,Last_day,Last_year
1899-1900,Nov-12,(1899),Mar-31,(1900)
1900-1901,Nov-28,(1900),Feb-24,(1901)
1901-1902,Dec-03,(1901),Mar-06,(1902)
1902-1903,Dec-01,(1902),Mar-29,(1903)
1903-1904,Dec-02,(1903),Apr-20,(1904)
1904-1905,Dec-05,(1904),Mar-22,(1905)
1905-1906,Dec-10,(1905),Mar-20,(1906)
1906-1907,Nov-28,(1906),Apr-13,(1907)
1907-1908,Dec-01,(1907),Apr-02,(1908)
1908-1909,Dec-11,(1908),Mar-20,(1909)
1909-1910,Dec-25,(1909),Mar-17,(1910)
1910-1911,Nov-30,(1910),Apr-16,(1911)
1911-1912,Nov-15,(1911),Apr-05,(1912)
1912-1913,Nov-28,(1912),Apr-07,(1913)
1913-1914,Dec-08,(1913),Apr-17,(1914)
1914-1915,Dec-21,(1914),Apr-04,(1915)
1915-1916,Nov-24,(1915),Apr-28,(1916)
1916-1917,Nov-16,(1916),Apr-09,(1917)
1917-1918,Nov-28,(1917),Apr-13,(1918)
1918-1919,Dec-03,(1918),Mar-31,(1919)
1919-1920,Nov-19,(1919),Apr-07,(1920)
1920-1921,Nov-21,(1920),Feb-20,(1921)
1921-1922,Nov-24,(1921),Apr-02,(1922)
1922-1923,Nov-27,(1922),Mar-14,(1923)
1923-1924,Dec-28,(1923),Apr-02,(1924)
1924-1925,Nov-30,(1924),Jan-30,(1925)
1925-1926,Dec-25,(1925),Mar-26,(1926)
1926-1927,Dec-04,(1926),Apr-05,(1927)
1927-1928,Nov-07,(1927),Mar-10,(1928)
1928-1929,Nov-25,(1928),-,
1929-1930,Nov-21,(1929),Mar-17,(1930)
1930-1931,Nov-27,(1930),Mar-26,(1931)
1931-1932,Dec-09,(1931),Mar-29,(1932)
1932-1933,Dec-10,(1932),Apr-13,(1933)
1933-1934,Nov-06,(1933),Mar-24,(1934)
1934-1935,Dec-13,(1934),Apr-17,(1935)
1935-1936,Nov-23,(1935),Mar-06,(1936)
1936-1937,Nov-24,(1936),Mar-25,(1937)
1937-1938,Nov-21,(1937),May-08,(1938)
1938-1939,Nov-24,(1938),Apr-13,(1939)
1939-1940,Nov-22,(1939),Apr-22,(1940)
1940-1941,Nov-27,(1940),Mar-12,(1941)
1941-1942,Dec-29,(1941),Apr-10,(1942)
1942-1943,Dec-13,(1942),Mar-06,(1943)
1943-1944,Dec-14,(1943),Mar-29,(1944)
1944-1945,Nov-24,(1944),Mar-23,(1945)
1945-1946,Nov-04,(1945),Apr-02,(1946)
1946-1947,Dec-02,(1946),Apr-21,(1947)
1947-1948,Nov-12,(1947),Mar-11,(1948)
1948-1949,Nov-29,(1948),Mar-18,(1949)
1949-1950,Nov-27,(1949),Mar-18,(1950)
1950-1951,Dec-23,(1950),Mar-22,(1951)
1951-1952,Dec-14,(1951),Mar-09,(1952)
1952-1953,Dec-14,(1952),Apr-14,(1953)
1953-1954,Jan-01,(1954),Apr-01,(1954)
1954-1955,Dec-06,(1954),Apr-04,(1955)
1955-1956,Nov-19,(1955),Apr-23,(1956)
1956-1957,Nov-18,(1956),Apr-09,(1957)
1957-1958,Nov-26,(1957),Apr-11,(1958)
1958-1959,Nov-30,(1958),Mar-28,(1959)
1959-1960,Nov-17,(1959),Mar-17,(1960)
1960-1961,Dec-12,(1960),Apr-19,(1961)
1961-1962,Nov-20,(1961),Apr-16,(1962)
1962-1963,Nov-13,(1962),Mar-21,(1963)
1963-1964,Dec-02,(1963),Mar-18,(1964)
1964-1965,Dec-03,(1964),Apr-18,(1965)
1965-1966,Dec-11,(1965),Mar-13,(1966)
