Date,First_date,First_year,Last_day,Last_year
1899-1900,Oct-19,(1899),Apr-12,(1900)
1900-1901,Nov-06,(1900),Mar-26,(1901)
1901-1902,Nov-03,(1901),Apr-26,(1902)
1902-1903,Nov-14,(1902),Apr-29,(1903)
1903-1904,Nov-09,(1903),Apr-15,(1904)
1904-1905,Nov-10,(1904),Mar-14,(1905)
1905-1906,Oct-29,(1905),May-08,(1906)
1906-1907,Nov-14,(1906),May-15,(1907)
1907-1908,Nov-30,(1907),Apr-29,(1908)
1908-1909,Nov-13,(1908),May-01,(1909)
1909-1910,Nov-13,(1909),Apr-23,(1910)
1910-1911,Oct-27,(1910),Apr-15,(1911)
1911-1912,Nov-03,(1911),Apr-07,(1912)
1912-1913,Nov-23,(1912),Apr-11,(1913)
1913-1914,Oct-20,(1913),Apr-06,(1914)
1914-1915,Nov-12,(1914),May-18,(1915)
1915-1916,Nov-13,(1915),Apr-07,(1916)
1916-1917,Oct-19,(1916),Apr-29,(1917)
1917-1918,Oct-11,(1917),Mar-13,(1918)
1918-1919,Nov-28,(1918),Apr-16,(1919)
1919-1920,Oct-27,(1919),Apr-27,(1920)
1920-1921,Nov-11,(1920),Apr-09,(1921)
1921-1922,Nov-07,(1921),Apr-19,(1922)
1922-1923,Oct-16,(1922),May-08,(1923)
1923-1924,Nov-22,(1923),May-09,(1924)
1924-1925,Nov-07,(1924),May-24,(1925)
1925-1926,Oct-09,(1925),Apr-06,(1926)
1926-1927,Oct-23,(1926),Apr-21,(1927)
1927-1928,Nov-08,(1927),Apr-19,(1928)
1928-1929,Dec-03,(1928),May-16,(1929)
1929-1930,Oct-29,(1929),Mar-24,(1930)
1930-1931,Oct-16,(1930),Mar-27,(1931)
1931-1932,Nov-22,(1931),Apr-05,(1932)
1932-1933,Oct-10,(1932),Apr-12,(1933)
1933-1934,Oct-28,(1933),Apr-11,(1934)
1934-1935,Nov-26,(1934),May-01,(1935)
1935-1936,Nov-03,(1935),Apr-06,(1936)
